"Year_Birth","Education","Marital_Status","Income","Kidhome","Teenhome","Dt_Customer","Recency","MntWines","MntFruits","MntMeatProducts","MntFishProducts","MntSweetProducts","MntGoldProds","DespesaTotal","NumDealsPurchases","NumWebPurchases","NumCatalogPurchases","NumStorePurchases","NumCompresTotal","NumWebVisitsMonth","AcceptedCmp1","AcceptedCmp2","AcceptedCmp3","AcceptedCmp4","AcceptedCmp5","AcceptedCmpTotal","Complain","Response"
1957,"Graduation","Single",58138,0,0,"04-09-2012",58,635,88,546,172,88,88,982,3,8,10,4,22,7,0,0,0,0,0,0,0,1
1954,"Graduation","Single",46344,1,1,"08-03-2014",38,11,1,6,2,1,6,16,2,1,1,2,4,5,0,0,0,0,0,0,0,0
1965,"Graduation","Together",71613,0,0,"21-08-2013",26,426,49,127,111,21,42,350,1,8,2,10,20,4,0,0,0,0,0,0,0,0
1984,"Graduation","Together",26646,1,0,"10-02-2014",26,11,4,20,10,3,5,42,2,2,0,4,6,6,0,0,0,0,0,0,0,0
1981,"PhD","Married",58293,1,0,"19-01-2014",94,173,43,118,46,27,15,249,5,5,3,6,14,5,0,0,0,0,0,0,0,0
1967,"Master","Together",62513,0,1,"09-09-2013",16,520,42,98,0,42,14,196,2,6,4,10,20,6,0,0,0,0,0,0,0,0
1971,"Graduation","Divorced",55635,0,1,"13-11-2012",34,235,65,164,50,49,27,355,4,7,3,7,17,6,0,0,0,0,0,0,0,0
1985,"PhD","Married",33454,1,0,"08-05-2013",32,76,10,56,3,1,23,93,2,4,0,4,8,8,0,0,0,0,0,0,0,0
1974,"PhD","Together",30351,1,0,"06-06-2013",19,14,0,24,3,3,2,32,1,3,0,2,5,9,0,0,0,0,0,0,0,1
1950,"PhD","Together",5648,1,1,"13-03-2014",68,28,0,6,1,1,13,21,1,1,0,0,1,7,0,0,1,0,0,1,0,0
1983,"Graduation","Married",20425,1,0,"15-11-2013",11,5,5,6,0,2,1,14,1,1,0,2,3,7,0,0,0,0,0,0,0,0
1976,"Basic","Married",7500,0,0,"13-11-2012",59,6,16,11,11,1,16,55,1,2,0,3,5,8,0,0,0,0,0,0,0,0
1959,"Graduation","Divorced",63033,0,0,"15-11-2013",82,194,61,480,225,112,30,908,1,3,4,8,15,2,0,0,0,0,0,0,0,0
1952,"Master","Divorced",59354,1,1,"15-11-2013",53,233,2,53,3,5,14,77,3,6,1,5,12,6,0,0,0,0,0,0,0,0
1987,"Graduation","Married",17323,0,0,"10-10-2012",38,3,14,17,6,1,5,43,1,1,0,3,4,8,0,0,0,0,0,0,0,0
